,rcvTime,sendTime,label,pos_x,pos_y,pos_z,pos_noise_x,pos_noise_y,pos_noise_z,spd_x,spd_y,spd_z,spd_noise_x,spd_noise_y,spd_noise_z,acl_x,acl_y,acl_z,acl_noise_x,acl_noise_y,acl_noise_z,hed_x,hed_y,hed_z,hed_noise_x,hed_noise_y,hed_noise_z
307,0.18955913731230112,0.18955913731230112,0.0,0.2170233849896786,0.38276098616293824,0.0,0.15143203311659814,0.25240084041027844,0.0,0.255819084129061,0.4365519629455304,0.0,0.4175358866644361,0.707449273866688,0.0,0.5230626880327452,0.7126366531093034,0.0,0.47108170943704714,0.346711266450127,0.0,0.5327711055827569,0.9987982319266582,0.0,0.1382861304416146,0.08283271436692873,0.0
316,0.24487999947689332,0.24487999947689332,0.0,0.2131161860054288,0.4335738497328808,0.0,0.17443639994136118,0.21419381508734037,0.0,0.42073914372253707,0.4067820791475859,0.0,0.6003916741194397,0.659147511860986,0.0,0.44749005474233516,0.44704825655832814,0.0,0.010225171009114048,0.005763886922299854,0.0,0.892474976055903,0.8091531747291186,0.0,0.05422022203478781,0.0976575009201617,0.0
188,0.6026539060211462,0.6026539060211462,0.0,0.5510137948293569,0.505009013195803,0.0,0.0,0.14432722285042532,0.0,0.18797199743671744,0.40752167586811516,0.0,0.4626998424222776,0.2190852814129903,0.0,0.4074618913053481,0.7604830434651029,0.0,0.10603848233321705,0.12950009527234274,0.0,0.3609069775225108,0.980988125004745,0.0,0.1936316077328134,0.09389846514650146,0.0
340,0.40469590135506905,0.40469590135506905,0.0,0.35881961417874064,0.52188896063659,0.0,0.1644072959008358,0.32881121557043036,0.0,0.37780767771509516,0.07628373758348797,0.0,0.5527964933975298,0.1226247894539168,0.0,0.5179878506823041,0.4924101598788289,0.0,0.0007976078730972261,0.0007522233913383881,0.0,0.7719196599254935,0.08047996378494088,0.0,0.0696096681001213,0.5923352419296793,0.0
371,0.6505664256973773,0.6505664256973773,0.0,0.5886688203521492,0.5590462609032727,0.0,0.22574007745844593,0.35293810128949565,0.0,0.3992189946425546,0.4297901066817347,0.0,0.5765013218996415,0.696452062698387,0.0,0.540944291495627,0.5325713940426361,0.0,0.0198103649668161,0.0062186269906866235,0.0,0.8413805597164187,0.8646680624594456,0.0,0.06150861489109561,0.0860018597675637,0.0
386,0.7427678769784052,0.7427678769784052,0.0,0.685281909048193,0.6302512735915059,0.0,0.2219355312663578,0.24997853947948911,0.0,0.4706181100608696,0.31550199893662007,0.0,0.6556463229136038,0.5109032441984157,0.0,0.61768490655638,0.5263870811331969,0.0,0.00314714835232178,0.0005177700868513087,0.0,0.987560627492076,0.6105081803163319,0.0,0.04023011555857296,0.16130396356996873,0.0
388,0.7550614428130302,0.7550614428130302,0.0,0.7010368992751864,0.6343514572459186,0.0,0.2037148334457657,0.19845293227714023,0.0,0.4682938469089695,0.3165687876488925,0.0,0.653070400559512,0.512636277060849,0.0,0.4564857955454677,0.48681796176950237,0.0,0.0030357147724405197,0.0003058740816781698,0.0,0.9866344735387822,0.6144967104813056,0.0,0.040803659575598845,0.16036432479356424,0.0
301,0.1526785475813881,0.1526785475813881,0.0,0.17890487297876734,0.37353951366708166,0.0,0.1187871569823129,0.21173872508804514,0.0,0.475230075287685,0.2914460104353369,0.0,0.6607826082643442,0.47188467587283744,0.0,0.5029352951125733,0.4995339426246911,0.0,0.0004421829026820611,4.00632395875002e-05,0.0,0.995390524593885,0.5675423242528026,0.0,0.03910731413232797,0.18395774805580928,0.0
319,0.2633203213734987,0.2633203213734987,0.0,0.23159992202337962,0.4495524756335662,0.0,0.18345815100119656,0.2290158428764173,0.0,0.4215266199746365,0.40744386219059703,0.0,0.6012613536048905,0.6602170254095344,0.0,0.49787624591199814,0.4889896896542035,0.0,0.002130318686254221,0.0012008518980714889,0.0,0.8912234525921794,0.8107310263455939,0.0,0.053970252345524786,0.09730282263992258,0.0
182,0.541186334065344,0.541186334065344,0.0,0.6158101324971439,0.4416293897261516,0.0,0.194479878484346,0.14281996729010293,0.0,0.22022081470652072,0.4675173739328217,0.0,0.43229865452301014,0.1362872123045909,0.0,0.4868786910186801,0.6963937364920936,0.0,0.15249368388671497,0.07841175490878118,0.0,0.45569366922086213,0.9982213073181045,0.0,0.162291265838593,0.06729053824260973,0.0
